english.10mb;iteracion1;2806;milisegundos;6017673;bytes
english.10mb;iteracion2;2899;milisegundos;6017673;bytes
english.10mb;iteracion3;2771;milisegundos;6017673;bytes
english.10mb;iteracion4;2752;milisegundos;6017673;bytes
english.10mb;iteracion5;2758;milisegundos;6017673;bytes
english.50mb;iteracion1;13236;milisegundos;29921128;bytes
english.50mb;iteracion2;13301;milisegundos;29921128;bytes
english.50mb;iteracion3;13307;milisegundos;29921128;bytes
english.50mb;iteracion4;14059;milisegundos;29921128;bytes
english.50mb;iteracion5;13556;milisegundos;29921128;bytes
english.100mb;iteracion1;26412;milisegundos;60203027;bytes
english.100mb;iteracion2;26618;milisegundos;60203027;bytes
english.100mb;iteracion3;26298;milisegundos;60203027;bytes
english.100mb;iteracion4;26439;milisegundos;60203027;bytes
english.100mb;iteracion5;26446;milisegundos;60203027;bytes
english.200mb;iteracion1;52305;milisegundos;119546234;bytes
english.200mb;iteracion2;52622;milisegundos;119546234;bytes
english.200mb;iteracion3;52669;milisegundos;119546234;bytes
english.200mb;iteracion4;53114;milisegundos;119546234;bytes
english.200mb;iteracion5;52499;milisegundos;119546234;bytes
dna.10mb;iteracion1;2530;milisegundos;2903145;bytes
dna.10mb;iteracion2;2553;milisegundos;2903145;bytes
dna.10mb;iteracion3;2554;milisegundos;2903145;bytes
dna.10mb;iteracion4;2523;milisegundos;2903145;bytes
dna.10mb;iteracion5;2490;milisegundos;2903145;bytes
dna.50mb;iteracion1;11183;milisegundos;14484000;bytes
dna.50mb;iteracion2;11991;milisegundos;14484000;bytes
dna.50mb;iteracion3;11006;milisegundos;14484000;bytes
dna.50mb;iteracion4;11376;milisegundos;14484000;bytes
dna.50mb;iteracion5;11044;milisegundos;14484000;bytes
dna.100mb;iteracion1;21863;milisegundos;28906028;bytes
dna.100mb;iteracion2;21496;milisegundos;28906028;bytes
dna.100mb;iteracion3;21229;milisegundos;28906028;bytes
dna.100mb;iteracion4;21280;milisegundos;28906028;bytes
dna.100mb;iteracion5;21424;milisegundos;28906028;bytes
dna.200mb;iteracion1;43001;milisegundos;57741230;bytes
dna.200mb;iteracion2;42173;milisegundos;57741230;bytes
dna.200mb;iteracion3;42022;milisegundos;57741230;bytes
dna.200mb;iteracion4;42143;milisegundos;57741230;bytes
dna.200mb;iteracion5;42011;milisegundos;57741230;bytes
