english.10MB;iteracion1;5913;milisegundos;6172844 bytes
english.10MB;iteracion2;5796;milisegundos;6172844 bytes
english.10MB;iteracion3;6179;milisegundos;6172844 bytes
english.10MB;iteracion4;7026;milisegundos;6172844 bytes
english.10MB;iteracion5;6255;milisegundos;6172844 bytes
english.50MB;iteracion1;33918;milisegundos;26375768 bytes
english.50MB;iteracion2;33036;milisegundos;26375768 bytes
english.50MB;iteracion3;32793;milisegundos;26375768 bytes
english.50MB;iteracion4;32911;milisegundos;26375768 bytes
english.50MB;iteracion5;32986;milisegundos;26375768 bytes
english.100MB;iteracion1;74126;milisegundos;50360568 bytes
english.100MB;iteracion2;72753;milisegundos;50360568 bytes
english.100MB;iteracion3;72690;milisegundos;50360568 bytes
english.100MB;iteracion4;72076;milisegundos;50360568 bytes
english.100MB;iteracion5;72071;milisegundos;50360568 bytes
english.200MB;iteracion1;152863;milisegundos;94652972 bytes
english.200MB;iteracion2;153235;milisegundos;94652972 bytes
english.200MB;iteracion3;152466;milisegundos;94652972 bytes
english.200MB;iteracion4;152403;milisegundos;94652972 bytes
english.200MB;iteracion5;153132;milisegundos;94652972 bytes
dna.10MB;iteracion1;5038;milisegundos;4464560 bytes
dna.10MB;iteracion2;4960;milisegundos;4464560 bytes
dna.10MB;iteracion3;4793;milisegundos;4464560 bytes
dna.10MB;iteracion4;4822;milisegundos;4464560 bytes
dna.10MB;iteracion5;4883;milisegundos;4464560 bytes
dna.50MB;iteracion1;27911;milisegundos;19690612 bytes
dna.50MB;iteracion2;27821;milisegundos;19690612 bytes
dna.50MB;iteracion3;27783;milisegundos;19690612 bytes
dna.50MB;iteracion4;27562;milisegundos;19690612 bytes
dna.50MB;iteracion5;27379;milisegundos;19690612 bytes
dna.100MB;iteracion1;62401;milisegundos;37423212 bytes
dna.100MB;iteracion2;62129;milisegundos;37423212 bytes
dna.100MB;iteracion3;62054;milisegundos;37423212 bytes
dna.100MB;iteracion4;59369;milisegundos;37423212 bytes
dna.100MB;iteracion5;58920;milisegundos;37423212 bytes
dna.200MB;iteracion1;127162;milisegundos;71009792 bytes
dna.200MB;iteracion2;127424;milisegundos;71009792 bytes
dna.200MB;iteracion3;129098;milisegundos;71009792 bytes
dna.200MB;iteracion4;128326;milisegundos;71009792 bytes
dna.200MB;iteracion5;128536;milisegundos;71009792 bytes
